date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:27:53	3742/3742	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Dec%202023%2018:27:54%20GMT	https://ngl.link/tliseitiraf	C:/My%20Web%20Sites/ITIRAF/ngl.link/tliseitiraf.html	(from )
21:27:54	20/20	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Dec%202023%2018:27:54%20GMT	https://ngl.link/robots.txt		(from )
21:27:54	6138/6138	---M-Z	200	added ('OK')	text/css	date:Mon,%2013%20Nov%202023%2018:39:39%20GMT	https://ngl.link/stylesheets/normalize.css	C:/My%20Web%20Sites/ITIRAF/ngl.link/stylesheets/normalize.css	(from https://ngl.link/tliseitiraf)
21:27:54	10129/10129	---M-Z	200	added ('OK')	text/css	date:Thu,%2030%20Nov%202023%2020:12:59%20GMT	https://ngl.link/stylesheets/style.css?v=30	C:/My%20Web%20Sites/ITIRAF/ngl.link/stylesheets/stylebb80.css	(from https://ngl.link/tliseitiraf)
21:27:55	14581/14581	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2016%20Nov%202023%2016:08:47%20GMT	https://ngl.link/scripts/main.js?v=43	C:/My%20Web%20Sites/ITIRAF/ngl.link/scripts/main5de1.js	(from https://ngl.link/tliseitiraf)
21:27:55	89501/89501	---M--	200	added ('OK')	text/javascript	date:Wed,%2010%20Mar%202021%2014:28:09%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.6.0/jquery.min.js	C:/My%20Web%20Sites/ITIRAF/ajax.googleapis.com/ajax/libs/jquery/3.6.0/jquery.min.js	(from https://ngl.link/tliseitiraf)
21:27:55	4578/4578	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2016%20Nov%202023%2016:08:47%20GMT	https://ngl.link/scripts/mixpanel-jslib-snippet.js	C:/My%20Web%20Sites/ITIRAF/ngl.link/scripts/mixpanel-jslib-snippet.js	(from https://ngl.link/tliseitiraf)
21:27:56	32161/32161	---M--	200	added ('OK')	image/jpg	etag:%22f17db1cb6713af9d01d7395a0e3394dc%22	https://firebasestorage.googleapis.com/v0/b/ask-fun-d10f0.appspot.com/o/images%2FyzP1RDr1jWNIbQuoXtPThfsFda63.jpg?alt=media&token=b25b78dd-8d41-48ee-9085-f71728f5da0b	C:/My%20Web%20Sites/ITIRAF/firebasestorage.googleapis.com/v0/b/ask-fun-d10f0.appspot.com/o/images/yzP1RDr1jWNIbQuoXtPThfsFda6388e3.jpg	(from https://ngl.link/tliseitiraf)
21:27:57	24486/24486	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Dec%202023%2018:27:57%20GMT	https://ngl.link/p/terms	C:/My%20Web%20Sites/ITIRAF/ngl.link/p/terms.html	(from https://ngl.link/tliseitiraf)
21:27:57	18672/18672	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Dec%202023%2018:27:57%20GMT	https://ngl.link/p/privacy	C:/My%20Web%20Sites/ITIRAF/ngl.link/p/privacy.html	(from https://ngl.link/tliseitiraf)
21:27:57	2184/2184	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2018:39:39%20GMT	https://ngl.link/images/profilePlaceholder.png	C:/My%20Web%20Sites/ITIRAF/ngl.link/images/profilePlaceholder.png	(from https://ngl.link/stylesheets/style.css?v=30)
21:27:57	192/192	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2030%20Nov%202023%2020:12:59%20GMT	https://ngl.link/images/top-left-corner.svg	C:/My%20Web%20Sites/ITIRAF/ngl.link/images/top-left-corner.svg	(from https://ngl.link/stylesheets/style.css?v=30)
21:27:58	192/192	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2030%20Nov%202023%2020:12:59%20GMT	https://ngl.link/images/top-right-corner.svg	C:/My%20Web%20Sites/ITIRAF/ngl.link/images/top-right-corner.svg	(from https://ngl.link/stylesheets/style.css?v=30)
21:27:58	4858/4858	---M--	200	added ('OK')	image/png	date:Thu,%2030%20Nov%202023%2020:12:59%20GMT	https://ngl.link/images/playIcon.png	C:/My%20Web%20Sites/ITIRAF/ngl.link/images/playIcon.png	(from https://ngl.link/stylesheets/style.css?v=30)
21:27:58	75427/75427	---M-Z	200	added ('OK')	text/css	etag:%22ecd245966d454fe6c222cdcc2e862496%22	https://assets.website-files.com/62a6e19b906fa55f541799d7/css/ngl-98c9e9.686fd3ba6.css	C:/My%20Web%20Sites/ITIRAF/assets.website-files.com/62a6e19b906fa55f541799d7/css/ngl-98c9e9.686fd3ba6.css	(from https://ngl.link/p/terms)
21:27:59	1726/1726	---M--	200	added ('OK')	image/png	etag:%220a126847d18684b5022bf07caea49aa4%22	https://assets.website-files.com/62a6e19b906fa55f541799d7/62a98d01b8629c02bae2af2e_Variant5_32.png	C:/My%20Web%20Sites/ITIRAF/assets.website-files.com/62a6e19b906fa55f541799d7/62a98d01b8629c02bae2af2e_Variant5_32.png	(from https://ngl.link/p/terms)
21:27:59	49857/49857	---M--	200	added ('OK')	image/png	etag:%225021d7045fa9903fe5a2270a861f0771%22	https://assets.website-files.com/62a6e19b906fa55f541799d7/62a98d041030ce99f782fbde_Variant5_256.png	C:/My%20Web%20Sites/ITIRAF/assets.website-files.com/62a6e19b906fa55f541799d7/62a98d041030ce99f782fbde_Variant5_256.png	(from https://ngl.link/p/terms)
21:27:59	4686/4686	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Dec%202023%2018:28:00%20GMT	https://ngl.link/cdn-cgi/l/email-protection	C:/My%20Web%20Sites/ITIRAF/ngl.link/cdn-cgi/l/email-protection.html	(from https://ngl.link/p/terms)
21:27:59	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%226569f5f8-4d7%22	https://ngl.link/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/ITIRAF/ngl.link/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://ngl.link/p/terms)
21:28:00	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=62a6e19b906fa55f541799d7	C:/My%20Web%20Sites/ITIRAF/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8aa2a.js	(from https://ngl.link/p/terms)
21:28:00	515866/515866	---M-Z	200	added ('OK')	text/javascript	etag:%2201dde5f7d03fdd0ee9aaf1211b785b45%22	https://assets.website-files.com/62a6e19b906fa55f541799d7/js/ngl-98c9e9.10b38d740.js	C:/My%20Web%20Sites/ITIRAF/assets.website-files.com/62a6e19b906fa55f541799d7/js/ngl-98c9e9.10b38d740.js	(from https://ngl.link/p/terms)
